name,agents_average_initial_opinion,technology_success_rate,k_S->Q,k_S->L,k_Q->L,k_Q->B,k_L->Q,k_L->B,k_B->S
2_12_6,0.2,0.6,0.035072865999233795,0.0,0.14333938582446337,0.12121605094737899,0.26267811725734114,0.0,0.0
2_12_7,0.2,0.7,0.0,0.01389584558040684,0.09276932948530714,0.028973691502136224,0.06672823230345959,0.02239429091877087,0.0
2_12_8,0.2,0.8,0.10396871701196087,0.007918565110585493,0.07881403533555163,0.006044788529062024,0.0015433086276808625,0.0,0.2744444557721836
2_12_9,0.2,0.9,0.21213521034677926,0.0,0.1994990789810256,0.0,0.0,0.0,0.19777903764717863
2_12_10,0.2,1.0,0.35777271099435254,0.0,0.26635779203912396,0.0,0.0,0.0,0.20075509933438232
2_13_0,0.3,0.0,0.011613308791089322,0.06654841164163923,0.014526360427716087,0.4975420226398138,0.4830487386881663,0.0,0.0
2_13_1,0.3,0.1,0.0,0.00901159878711314,0.03757871648592817,0.39701594876248897,0.4197898260645158,0.0,0.0
2_13_2,0.3,0.2,0.05940318229593705,0.0,0.04096493193596797,0.3727255791094846,0.34444154917176967,0.0,0.0
2_13_3,0.3,0.3,0.0,0.0244477541458713,0.03235897976001133,0.2579747790382285,0.3301750102162271,0.0,0.0
2_13_4,0.3,0.4,0.0457803870588852,0.0,0.12183457591351604,0.22328105581738292,0.3241465569138816,0.0,0.0
2_13_5,0.3,0.5,0.0,0.0,0.01471938739870749,0.14894664495755142,0.1808648579350263,0.0,0.0
2_13_6,0.3,0.6,0.014253339139473612,0.0,0.05715767821961393,0.09170753199646783,0.11685702222819905,0.0,0.0
2_13_7,0.3,0.7,0.028000349818569976,0.0,0.058454226632101626,0.05423350540716126,0.04763799564151076,0.0,0.0
2_13_8,0.3,0.8,0.28717890912451666,0.017311855262431276,0.10483095698580926,0.0,8.1863962102903e-05,0.0,0.023634381444517537
2_13_9,0.3,0.9,0.2796368676139506,0.13720849083757833,0.19209389982079542,0.0,0.0,0.0,0.01705285292187098
2_13_10,0.3,1.0,0.34238007112032615,0.11627604111154709,0.25351741182493986,0.0,0.0,0.0,0.018974143376170535
2_14_0,0.4,0.0,0.06272287900324736,0.03217662665596396,0.0740681307590581,0.4108717742874891,0.43366045844610374,0.0,0.0
2_14_1,0.4,0.1,0.022361288432006493,0.0318345924223813,0.057908454736704265,0.32914651378206866,0.3863976394743394,0.0,0.0
2_14_2,0.4,0.2,0.0,0.037405793615129336,0.01698656613284459,0.28020730076386013,0.2839406207295301,0.0,0.0
2_14_3,0.4,0.3,0.06116442717322812,0.04043729010415238,0.1140171351371311,0.21313654043264882,0.31811824084238344,0.0,0.0
2_14_4,0.4,0.4,0.0,0.011312216672425551,0.0,0.1700712213290797,0.16281222698014292,0.0,0.0
2_14_5,0.4,0.5,0.0,0.0,0.0,0.1459010897607695,0.10254425316052848,0.0,0.0
2_14_6,0.4,0.6,0.0004044548892320526,0.0,0.00522758287484317,0.086734993773618,0.055285160572394514,0.0,0.0
2_14_7,0.4,0.7,0.029120512143737894,0.0,0.09565737977353268,0.08196530075966994,0.04193991205106786,0.0,0.0
2_14_8,0.4,0.8,0.1351104447960982,0.09681667213684217,0.16864507820593108,0.0,0.002398346468277055,8.052177572442331e-06,0.0
