name,agents_average_initial_opinion,technology_success_rate,final_adaption
0_0_10_4,-1.0,1.0,0.0
0_0_10_5,-1.0,1.0,0.0
1_0_10_0,-1.0,1.0,0.0
1_0_10_1,-1.0,1.0,0.0
1_0_10_2,-1.0,1.0,0.0
1_0_10_3,-1.0,1.0,0.0
1_0_10_4,-1.0,1.0,0.0
1_0_10_5,-1.0,1.0,0.0
2_0_10_0,-1.0,1.0,0.0
2_0_10_1,-1.0,1.0,0.0
2_0_10_2,-1.0,1.0,0.0
2_0_10_3,-1.0,1.0,0.0
2_0_10_4,-1.0,1.0,0.0
2_0_10_5,-1.0,1.0,0.0
3_0_10_0,-1.0,1.0,0.0
3_0_10_1,-1.0,1.0,0.0
3_0_10_2,-1.0,1.0,0.0
3_0_10_3,-1.0,1.0,0.0
3_0_10_4,-1.0,1.0,0.0
3_0_10_5,-1.0,1.0,0.0
4_0_10_0,-1.0,1.0,0.0
4_0_10_1,-1.0,1.0,0.0
4_0_10_2,-1.0,1.0,0.0
4_0_10_3,-1.0,1.0,0.0
4_0_10_4,-1.0,1.0,0.0
4_0_10_5,-1.0,1.0,0.0
0_1_0_0,-0.9,0.0,0.0
0_1_0_1,-0.9,0.0,0.0
0_1_0_2,-0.9,0.0,0.0
0_1_0_3,-0.9,0.0,0.0
0_1_0_4,-0.9,0.0,0.0
0_1_0_5,-0.9,0.0,0.0
1_1_0_0,-0.9,0.0,0.0
1_1_0_1,-0.9,0.0,0.0
1_1_0_2,-0.9,0.0,0.0
1_1_0_3,-0.9,0.0,0.0
1_1_0_4,-0.9,0.0,0.0
1_1_0_5,-0.9,0.0,0.0
2_1_0_0,-0.9,0.0,0.0
2_1_0_1,-0.9,0.0,0.0
2_1_0_2,-0.9,0.0,0.0
2_1_0_3,-0.9,0.0,0.0
2_1_0_4,-0.9,0.0,0.0
2_1_0_5,-0.9,0.0,0.0
3_1_0_0,-0.9,0.0,0.0
3_1_0_1,-0.9,0.0,0.0
3_1_0_2,-0.9,0.0,0.0
3_1_0_3,-0.9,0.0,0.0
3_1_0_4,-0.9,0.0,0.0
3_1_0_5,-0.9,0.0,0.0
4_1_0_0,-0.9,0.0,0.0
4_1_0_1,-0.9,0.0,0.0
4_1_0_2,-0.9,0.0,0.0
4_1_0_3,-0.9,0.0,0.0
4_1_0_4,-0.9,0.0,0.0
4_1_0_5,-0.9,0.0,0.0
0_1_1_0,-0.9,0.1,0.0
0_1_1_1,-0.9,0.1,0.0
0_1_1_2,-0.9,0.1,0.0
0_1_1_3,-0.9,0.1,0.0
0_1_1_4,-0.9,0.1,0.0
0_1_1_5,-0.9,0.1,0.0
1_1_1_0,-0.9,0.1,0.0
1_1_1_1,-0.9,0.1,0.0
1_1_1_2,-0.9,0.1,0.0
1_1_1_3,-0.9,0.1,0.0
1_1_1_4,-0.9,0.1,0.0
1_1_1_5,-0.9,0.1,0.0
2_1_1_0,-0.9,0.1,0.0
2_1_1_1,-0.9,0.1,0.0
2_1_1_2,-0.9,0.1,0.0
2_1_1_3,-0.9,0.1,0.0
2_1_1_4,-0.9,0.1,0.0
2_1_1_5,-0.9,0.1,0.0
3_1_1_0,-0.9,0.1,0.0
3_1_1_1,-0.9,0.1,0.0
3_1_1_2,-0.9,0.1,0.0
3_1_1_3,-0.9,0.1,0.0
3_1_1_4,-0.9,0.1,0.0
3_1_1_5,-0.9,0.1,0.0
4_1_1_0,-0.9,0.1,0.0
4_1_1_1,-0.9,0.1,0.0
4_1_1_2,-0.9,0.1,0.0
4_1_1_3,-0.9,0.1,0.0
4_1_1_4,-0.9,0.1,0.0
4_1_1_5,-0.9,0.1,0.0
0_1_2_0,-0.9,0.2,0.0
0_1_2_1,-0.9,0.2,0.0
0_1_2_2,-0.9,0.2,0.0
0_1_2_3,-0.9,0.2,0.0
0_1_2_4,-0.9,0.2,0.0
0_1_2_5,-0.9,0.2,0.0
1_1_2_0,-0.9,0.2,0.0
1_1_2_1,-0.9,0.2,0.0
1_1_2_2,-0.9,0.2,0.0
1_1_2_3,-0.9,0.2,0.0
1_1_2_4,-0.9,0.2,0.0
1_1_2_5,-0.9,0.2,0.0
2_1_2_0,-0.9,0.2,0.0
2_1_2_1,-0.9,0.2,0.0
2_1_2_2,-0.9,0.2,0.0
2_1_2_3,-0.9,0.2,0.0
2_1_2_4,-0.9,0.2,0.0
2_1_2_5,-0.9,0.2,0.0
3_1_2_0,-0.9,0.2,0.0
3_1_2_1,-0.9,0.2,0.0
3_1_2_2,-0.9,0.2,0.0
3_1_2_3,-0.9,0.2,0.0
3_1_2_4,-0.9,0.2,0.0
3_1_2_5,-0.9,0.2,0.0
4_1_2_0,-0.9,0.2,0.0
4_1_2_1,-0.9,0.2,0.0
4_1_2_2,-0.9,0.2,0.0
4_1_2_3,-0.9,0.2,0.0
4_1_2_4,-0.9,0.2,0.0
4_1_2_5,-0.9,0.2,0.0
0_1_3_0,-0.9,0.3,0.0
0_1_3_1,-0.9,0.3,0.0
0_1_3_2,-0.9,0.3,0.0
0_1_3_3,-0.9,0.3,0.0
0_1_3_4,-0.9,0.3,0.0
0_1_3_5,-0.9,0.3,0.0
1_1_3_0,-0.9,0.3,0.0
1_1_3_1,-0.9,0.3,0.0
1_1_3_2,-0.9,0.3,0.0
1_1_3_3,-0.9,0.3,0.0
1_1_3_4,-0.9,0.3,0.0
1_1_3_5,-0.9,0.3,0.0
2_1_3_0,-0.9,0.3,0.0
2_1_3_1,-0.9,0.3,0.0
2_1_3_2,-0.9,0.3,0.0
2_1_3_3,-0.9,0.3,0.0
2_1_3_4,-0.9,0.3,0.0
2_1_3_5,-0.9,0.3,0.0
3_1_3_0,-0.9,0.3,0.0
3_1_3_1,-0.9,0.3,0.0
3_1_3_2,-0.9,0.3,0.0
3_1_3_3,-0.9,0.3,0.0
3_1_3_4,-0.9,0.3,0.0
3_1_3_5,-0.9,0.3,0.0
4_1_3_0,-0.9,0.3,0.0
4_1_3_1,-0.9,0.3,0.0
4_1_3_2,-0.9,0.3,0.0
4_1_3_3,-0.9,0.3,0.0
4_1_3_4,-0.9,0.3,0.0
4_1_3_5,-0.9,0.3,0.0
0_1_4_0,-0.9,0.4,0.0
0_1_4_1,-0.9,0.4,0.0
0_1_4_2,-0.9,0.4,0.0
0_1_4_3,-0.9,0.4,0.0
0_1_4_4,-0.9,0.4,0.0
0_1_4_5,-0.9,0.4,0.0
1_1_4_0,-0.9,0.4,0.0
1_1_4_1,-0.9,0.4,0.0
1_1_4_2,-0.9,0.4,0.0
1_1_4_3,-0.9,0.4,0.0
1_1_4_4,-0.9,0.4,0.0
1_1_4_5,-0.9,0.4,0.0
2_1_4_0,-0.9,0.4,0.0
2_1_4_1,-0.9,0.4,0.0
2_1_4_2,-0.9,0.4,0.0
2_1_4_3,-0.9,0.4,0.0
