name,seed,teams_num,agents_average_initial_opinion,technology_success_rate
0_5_10_4,383329927,20,-0.5,1.0
0_5_10_5,383329927,25,-0.5,1.0
0_6_0_0,383329927,1,-0.4,0.0
0_6_0_1,383329927,5,-0.4,0.0
0_6_0_2,383329927,10,-0.4,0.0
0_6_0_3,383329927,15,-0.4,0.0
0_6_0_4,383329927,20,-0.4,0.0
0_6_0_5,383329927,25,-0.4,0.0
0_6_1_0,383329927,1,-0.4,0.1
0_6_1_1,383329927,5,-0.4,0.1
0_6_1_2,383329927,10,-0.4,0.1
0_6_1_3,383329927,15,-0.4,0.1
0_6_1_4,383329927,20,-0.4,0.1
0_6_1_5,383329927,25,-0.4,0.1
0_6_2_0,383329927,1,-0.4,0.2
0_6_2_1,383329927,5,-0.4,0.2
0_6_2_2,383329927,10,-0.4,0.2
0_6_2_3,383329927,15,-0.4,0.2
0_6_2_4,383329927,20,-0.4,0.2
0_6_2_5,383329927,25,-0.4,0.2
0_6_3_0,383329927,1,-0.4,0.3
0_6_3_1,383329927,5,-0.4,0.3
0_6_3_2,383329927,10,-0.4,0.3
0_6_3_3,383329927,15,-0.4,0.3
0_6_3_4,383329927,20,-0.4,0.3
0_6_3_5,383329927,25,-0.4,0.3
0_6_4_0,383329927,1,-0.4,0.4
0_6_4_1,383329927,5,-0.4,0.4
0_6_4_2,383329927,10,-0.4,0.4
0_6_4_3,383329927,15,-0.4,0.4
0_6_4_4,383329927,20,-0.4,0.4
0_6_4_5,383329927,25,-0.4,0.4
0_6_5_0,383329927,1,-0.4,0.5
0_6_5_1,383329927,5,-0.4,0.5
0_6_5_2,383329927,10,-0.4,0.5
0_6_5_3,383329927,15,-0.4,0.5
0_6_5_4,383329927,20,-0.4,0.5
0_6_5_5,383329927,25,-0.4,0.5
0_6_6_0,383329927,1,-0.4,0.6
0_6_6_1,383329927,5,-0.4,0.6
0_6_6_2,383329927,10,-0.4,0.6
0_6_6_3,383329927,15,-0.4,0.6
0_6_6_4,383329927,20,-0.4,0.6
0_6_6_5,383329927,25,-0.4,0.6
0_6_7_0,383329927,1,-0.4,0.7
0_6_7_1,383329927,5,-0.4,0.7
0_6_7_2,383329927,10,-0.4,0.7
0_6_7_3,383329927,15,-0.4,0.7
