name,agents_average_initial_opinion,technology_success_rate,final_adaption
4_10_2,0.0,0.2,0.00017362800481952902
0_10_3,0.0,0.3,8.584622532560712e-07
1_10_3,0.0,0.3,5.763536971420575e-09
2_10_3,0.0,0.3,1.4582118954746898e-05
3_10_3,0.0,0.3,2.6326666895137924e-08
4_10_3,0.0,0.3,9.207768033843382e-05
0_10_4,0.0,0.4,8.767445829197394e-05
1_10_4,0.0,0.4,4.5779991444534806e-08
2_10_4,0.0,0.4,3.275575941558324e-05
3_10_4,0.0,0.4,0.0017729502658316966
4_10_4,0.0,0.4,0.0010727581601070698
0_10_5,0.0,0.5,0.00013047722908480933
1_10_5,0.0,0.5,1.0821519947939145e-05
2_10_5,0.0,0.5,8.936048988362715e-05
3_10_5,0.0,0.5,0.0015006702358653888
4_10_5,0.0,0.5,0.004865566340589784
0_10_6,0.0,0.6,0.002979955156269848
1_10_6,0.0,0.6,0.0015374126484087747
2_10_6,0.0,0.6,0.003661981823220434
3_10_6,0.0,0.6,0.001330481489745084
4_10_6,0.0,0.6,0.008374371920036342
0_10_7,0.0,0.7,0.07729220302551498
1_10_7,0.0,0.7,0.06007971592287678
2_10_7,0.0,0.7,0.04815209305449092
3_10_7,0.0,0.7,0.11604544483797251
4_10_7,0.0,0.7,0.11609757344199209
0_10_8,0.0,0.8,0.6729746563848669
1_10_8,0.0,0.8,0.6995326943453171
2_10_8,0.0,0.8,0.7323738173003262
3_10_8,0.0,0.8,0.7016274968905738
4_10_8,0.0,0.8,0.7065068920300234
0_10_9,0.0,0.9,0.7404056732054847
